Duration;ProcessName;ProcessID;CPUms/s;User%;Deadlines;(<2ms,2-5ms);Wakeups;(intr,pkg,idle);EnergyImpact;;;;;;;;
01:03:40;WebApp;617;27,08;81,82;0,00;0,00;9,29;1,19;37,20;;;;;;;;
01:03:45;WebApp;617;40,63;86,92;0,00;0,00;6,53;0,40;53,22;;;;;;;;
01:03:50;WebApp;617;27,49;71,09;0,00;0,00;8,29;0,79;8,74;;;;;;;;
01:03:55;WebApp;617;21,90;65,70;0,20;0,00;8,30;0,59;5,22;;;;;;;;
01:04:00;WebApp;617;17,25;65,16;0,00;0,00;6,53;0,20;4,20;;;;;;;;
01:04:05;WebApp;617;18,31;56,86;0,00;0,00;8,10;1,19;3,00;;;;;;;;
01:04:10;WebApp;617;18,62;62,87;0,00;0,00;7,32;0,79;4,42;;;;;;;;
01:04:15;WebApp;617;15,21;54,99;0,20;0,20;7,31;0,40;2,78;;;;;;;;
01:04:20;WebApp;617;20,09;74,06;0,00;0,00;9,09;0,59;3,77;;;;;;;;
01:04:25;WebApp;617;6,15;59,29;0,00;0,40;7,31;0,59;0,69;;;;;;;;
01:04:30;WebApp;617;11,82;66,26;0,00;0,00;7,90;0,39;2,45;;;;;;;;
01:04:35;WebApp;617;18,01;62,41;0,20;0,20;7,91;0,20;5,36;;;;;;;;
01:04:40;WebApp;617;35,78;82,20;0,20;0,00;8,70;0,99;33,35;;;;;;;;
01:04:45;WebApp;617;8,47;68,76;0,00;0,20;7,72;0,59;0,61;;;;;;;;
01:04:50;WebApp;617;28,08;80,11;0,00;0,00;8,51;0,99;10,80;;;;;;;;
01:04:56;WebApp;617;7,65;66,53;0,00;0,00;8,70;1,19;0,67;;;;;;;;
01:05:01;WebApp;617;19,68;56,09;0,00;0,00;7,31;0,59;6,07;;;;;;;;
01:05:06;WebApp;617;6,42;65,72;0,00;0,00;6,92;0,40;0,55;;;;;;;;
01:05:11;WebApp;617;17,14;52,35;0,00;0,00;9,09;0,99;3,75;;;;;;;;
01:05:16;WebApp;617;5,21;78,20;0,00;0,00;7,11;1,58;0,36;;;;;;;;
01:05:21;WebApp;617;23,62;70,95;0,20;0,00;9,29;0,59;5,52;;;;;;;;
01:00:53;OrderProcessor;6098;5,33;68,140,000,00;0,00;0,00;5,58;0,00;0,84;;;;;;;;
01:00:58;OrderProcessor;6098;0,59;86,200,000,00;0,00;0,00;3,58;0,20;0,14;;;;;;;;
01:01:03;OrderProcessor;6098;1,67;47,180,000,00;0,00;0,00;4,75;0,00;0,12;;;;;;;;
01:01:08;OrderProcessor;6098;3,14;88,520,000,00;0,00;0,00;4,96;0,60;0,29;;;;;;;;
01:01:13;OrderProcessor;6098;4,75;72,860,000,00;0,00;0,00;4,98;0,20;0,39;;;;;;;;
01:01:18;OrderProcessor;6098;4,83;91,600,000,00;0,00;0,00;3,56;0,40;0,40;;;;;;;;
01:01:23;OrderProcessor;6098;4,44;62,920,000,00;0,00;0,00;5,53;0,99;0,30;;;;;;;;
01:01:28;OrderProcessor;6098;1,48;89,610,000,00;0,00;0,00;4,75;0,20;0,15;;;;;;;;
01:01:33;OrderProcessor;6098;1,11;72,060,000,00;0,00;0,00;4,55;0,40;0,09;;;;;;;;
01:01:38;OrderProcessor;6098;2,70;60,200,000,00;0,00;0,00;5,55;0,20;0,25;;;;;;;;
01:01:43;OrderProcessor;6098;8,71;82,350,000,00;0,00;0,00;5,56;0,00;1,14;;;;;;;;
01:01:48;OrderProcessor;6098;1,46;89,300,000,00;0,00;0,00;2,57;0,00;0,11;;;;;;;;
01:01:54;OrderProcessor;6098;2,95;81,320,000,00;0,00;0,00;5,74;0,40;0,29;;;;;;;;
01:01:59;OrderProcessor;6098;0,43;84,420,000,00;0,00;0,00;3,17;0,20;0,03;;;;;;;;
01:02:04;OrderProcessor;6098;2,33;66,890,000,00;0,00;0,00;5,37;0,40;0,22;;;;;;;;
01:02:09;OrderProcessor;6098;1,20;59,110,000,00;0,00;0,00;4,36;0,20;0,13;;;;;;;;
01:02:14;OrderProcessor;6098;7,84;90,330,000,00;0,00;0,00;5,94;0,20;0,81;;;;;;;;
01:02:19;OrderProcessor;6098;2,41;94,030,000,00;0,00;0,00;3,16;0,00;0,19;;;;;;;;
01:02:24;OrderProcessor;6098;3,46;59,770,000,00;0,00;0,00;5,55;0,40;0,41;;;;;;;;
01:02:29;OrderProcessor;6098;1,17;87,440,000,00;0,00;0,00;4,35;0,00;0,10;;;;;;;;
01:02:34;OrderProcessor;6098;1,68;73,730,000,00;0,00;0,00;4,54;0,20;0,16;;;;;;;;
01:02:39;OrderProcessor;6098;1,12;73,320,000,00;0,00;0,00;4,35;0,40;0,20;;;;;;;;
01:02:44;OrderProcessor;6098;9,68;83,370,000,00;0,00;0,00;6,34;0,40;1,22;;;;;;;;
01:02:49;OrderProcessor;6098;2,44;75,620,000,00;0,00;0,00;2,57;0,59;0,25;;;;;;;;
01:02:54;OrderProcessor;6098;4,74;69,120,000,00;0,00;0,00;5,54;0,20;0,31;;;;;;;;
01:02:59;OrderProcessor;6098;0,59;83,470,000,00;0,00;0,00;3,36;0,59;0,02;;;;;;;;
01:03:04;OrderProcessor;6098;6,69;76,540,000,00;0,00;0,00;5,74;0,99;0,82;;;;;;;;
01:03:09;OrderProcessor;6098;0,85;85,310,000,00;0,00;0,00;4,17;0,60;0,04;;;;;;;;
01:03:14;OrderProcessor;6098;10,95;92,470,000,00;0,00;0,00;6,32;0,40;4,37;;;;;;;;
01:03:19;OrderProcessor;6098;3,89;77,630,000,00;0,00;0,00;2,96;0,40;0,40;;;;;;;;
01:03:24;OrderProcessor;6098;3,34;75,050,000,00;0,00;0,00;5,34;0,20;0,36;;;;;;;;
01:03:30;OrderProcessor;6098;0,84;89,980,000,00;0,00;0,00;3,36;0,40;0,05;;;;;;;;
01:03:35;OrderProcessor;6098;2,17;80,330,000,00;0,00;0,00;5,73;0,79;0,22;;;;;;;;
01:03:40;OrderProcessor;6098;2,72;74,360,000,00;0,00;0,00;5,14;0,20;0,20;;;;;;;;
01:03:45;OrderProcessor;6098;22,44;93,230,200,20;0,00;0,00;4,75;0,20;11,88;;;;;;;;
01:03:50;OrderProcessor;6098;3,22;73,860,000,00;0,00;0,00;4,74;0,59;0,34;;;;;;;;
01:03:55;OrderProcessor;6098;3,18;75,010,000,00;0,00;0,00;5,14;0,40;0,28;;;;;;;;
01:04:00;OrderProcessor;6098;1,47;79,120,000,00;0,00;0,00;4,15;0,59;0,16;;;;;;;;
01:04:05;OrderProcessor;6098;3,24;52,370,000,00;0,00;0,00;5,73;0,40;0,37;;;;;;;;
01:04:10;OrderProcessor;6098;1,81;81,230,000,00;0,00;0,00;5,14;0,59;0,09;;;;;;;;
01:04:15;OrderProcessor;6098;5,44;90,140,200,00;0,00;0,00;5,34;0,59;0,40;;;;;;;;
01:04:20;OrderProcessor;6098;4,29;66,930,000,00;0,00;0,00;4,15;0,79;0,36;;;;;;;;
01:04:25;OrderProcessor;6098;2,64;64,660,000,00;0,00;0,00;4,74;0,99;0,23;;;;;;;;
01:04:30;OrderProcessor;6098;2,51;76,250,000,00;0,00;0,00;5,33;0,99;0,22;;;;;;;;
01:04:35;OrderProcessor;6098;1,60;79,370,000,00;0,00;0,00;4,94;0,99;0,08;;;;;;;;
01:04:40;OrderProcessor;6098;4,50;85,810,200,00;0,20;0,00;5,73;0,40;0,67;;;;;;;;
01:04:45;OrderProcessor;6098;2,62;94,880,000,00;0,00;0,00;4,16;0,40;0,26;;;;;;;;
01:04:50;OrderProcessor;6098;3,23;63,140,000,00;0,00;0,00;4,36;0,79;0,30;;;;;;;;
01:04:56;OrderProcessor;6098;1,48;92,170,000,00;0,00;0,00;3,56;0,59;0,07;;;;;;;;
01:05:01;OrderProcessor;6098;1,63;72,940,000,00;0,00;0,00;4,15;0,79;0,09;;;;;;;;
01:05:06;OrderProcessor;6098;1,96;84,020,000,00;0,00;0,00;5,73;0,40;0,12;;;;;;;;
01:05:11;OrderProcessor;6098;5,94;75,410,000,00;0,00;0,00;5,73;0,40;0,48;;;;;;;;
01:05:16;OrderProcessor;6098;2,81;92,780,000,00;0,00;0,00;4,15;0,20;0,17;;;;;;;;
01:05:21;OrderProcessor;6098;4,53;74,480,000,00;0,00;0,00;4,94;0,40;0,23;;;;;;;;
01:00:53;PaymentProcesso;6094;2,92;79,510,000,00;0,00;0,00;5,78;0,80;0,67;;;;;;;;
01:00:58;PaymentProcesso;6094;1,01;86,100,000,00;0,00;0,00;3,98;0,20;0,05;;;;;;;;
01:01:03;PaymentProcesso;6094;1,51;82,890,000,00;0,00;0,00;4,75;0,59;0,18;;;;;;;;
01:01:08;PaymentProcesso;6094;1,72;77,870,000,00;0,00;0,00;4,76;0,60;0,12;;;;;;;;
01:01:13;PaymentProcesso;6094;1,03;67,490,000,00;0,00;0,00;4,58;0,40;0,05;;;;;;;;
01:01:18;PaymentProcesso;6094;1,46;89,500,000,00;0,00;0,00;3,96;0,20;0,08;;;;;;;;
01:01:23;PaymentProcesso;6094;1,66;62,630,000,00;0,00;0,00;4,74;0,20;0,09;;;;;;;;
01:01:28;PaymentProcesso;6094;1,37;82,700,000,00;0,00;0,00;4,75;0,59;0,14;;;;;;;;
01:01:33;PaymentProcesso;6094;0,83;75,230,000,00;0,00;0,00;3,96;0,40;0,03;;;;;;;;
01:01:38;PaymentProcesso;6094;1,28;78,270,000,00;0,00;0,00;4,75;0,40;0,09;;;;;;;;
01:01:43;PaymentProcesso;6094;1,28;82,450,000,00;0,00;0,00;4,76;0,40;0,22;;;;;;;;
01:01:48;PaymentProcesso;6094;0,44;82,720,000,00;0,00;0,00;3,16;0,00;0,02;;;;;;;;
01:01:54;PaymentProcesso;6094;2,80;62,990,000,00;0,00;0,00;5,94;0,20;0,30;;;;;;;;
01:01:59;PaymentProcesso;6094;0,64;85,710,000,00;0,00;0,00;3,36;0,99;0,05;;;;;;;;
01:02:04;PaymentProcesso;6094;1,29;76,420,000,00;0,00;0,00;4,57;0,40;0,10;;;;;;;;
01:02:09;PaymentProcesso;6094;1,59;76,880,000,00;0,00;0,00;4,95;0,59;0,19;;;;;;;;
